"sound","character","meaning"
"zéi","贼(賊)","thief, traitor; kill"
"tíng","亭","pavilion; erect"
"xī","夕","evening, night, dusk; slanted"
"diē","爹","father, daddy"
"chóu","酬","toast; reward, recompense"
"rú","儒","Confucian scholar"
"yīn","姻","relatives by marriage"
"luǎn","卵","egg; ovum; roe; spawn"
"fēn","氛","gas, vapor, air"
"xiè","泄(泄 洩)","leak; vent; flow; reveal"
"gān","杆(桿 杆)","pole; shaft of spear"
"āi","挨(挨 捱)","near, close by, next to"
"sēng","僧","Buddhist priest, monk; san of S"
"mì","蜜","honey; sweet; nectar"
"yín","吟","sing, hum; recite; type of poet"
"xīng","猩","species of orangutan"
"suì","遂","comply with, follow along; ther"
"xiá","狭(狹)","narrow, limited; narrow-minded"
"xiào","肖","look like, resemble, be like"
"tián","甜","sweet, sweetness"
"xiá","霞","rosy clouds"
"bó","驳(駁)","varicolored, variegated; mixed"
"yù","裕","abundant, rich, plentiful"
"wán","顽(頑)","obstinate, stubborn; recalcitra"
"yú","於","in, at, on; interjection alas!"
"zhāi","摘","pluck, pick; select; specify"
"ǎi","矮","short, dwarf; low"
"miǎo","秒","beard of grain or corn; a secon"
"qīng","卿","noble, high officer"
"chù","畜","livestock, domestic animals"
"yān","咽(咽 嚥)","throat; pharynx"
"pī","披","wear; split; crack"
"fǔ","辅(輔)","cheek bone; protective; assist"
"gōu","勾","hook, join, connect; entice"
"pén","盆","basin, tub, pot, bowl"
"jiāng","疆","boundary, border, frontier"
"dǔ","赌(賭)","bet, gamble, wager; compete"
"sù","塑","model in clay, sculpt; plastics"
"wèi","畏","fear, dread, awe, reverence"
"chǎo","吵","argue, dispute; disturb, annoy"
"náng","囊","bag, purse, sack; put in bag"
NA,"嗯","final particle"
"bó","泊","anchor vessel; lie at anchor"
"fèi","肺","lungs"
"zòu","骤(驟)","procedure; gallop; sudden(ly)"
"chán","缠(纏)","wrap, wind around; tie, bind"
"gāng","冈","ridge or crest of hill"
"xiū","羞","disgrace, shame; ashamed; shy"
"dèng","瞪","stare at"
"diào","吊(吊 弔)","condole, mourn, pity; hang"
"jiǎ","贾","surname; merchant; buy, trade"
"lòu","漏","leak, drip; funnel; hour glass"
"bān","斑","mottled, striped, freckle"
"tāo","涛(濤)","large waves"
"yōu","悠","long, far, remote, distant; lie"
"lù","鹿","deer; surname; KangXi radical 1"
"fú","俘","prisoner of war; take as prison"
"xí","锡","tin, stannum; bestow, confer"
"bēi","卑","humble, low, inferior; despise"
"zàng","葬","bury, inter"
"míng","铭(銘)","inscribe, engrave"
"tān","滩(灘)","bank, a sandbar, shoal; rapids"
"jià","嫁","to marry"
"cuī","催","press, urge"
"xuán","璇","beautiful jade; star"
"chì","翅","wings; fin"
"hé","盒","small box or case; casket"
"mán","蛮(蠻)","barbarians; barbarous, savage"
"yǐ","矣","particle of completed action"
"pān","潘","surname; water in which rice ha"
"qí","歧","fork of road; branching off"
"sì","赐","give, bestow favors; appoint"
"bào","鲍","abalone; dried fish; surname"
"guō","锅(鍋)","cooking-pot, saucepan"
"láng","廊","corridor, porch, veranda"
"chāi","拆","to break up, split apart"
"guàn","灌","pour; water; irrigate, flood"
"miǎn","勉","endeavor, make effort; urge"
"máng","盲","blind; unperceptive"
"zǎi","宰","to slaughter; to rule"
