"sound","character","meaning"
"yù","玉","jade, precious stone, gem"
"zhèn","镇(鎮)","town, market place; suppress"
"xuě","雪","snow; wipe away shame, avenge"
"wǔ","午","noon; 7th terrestrial branch"
"liàn","练(練)","to practice, drill, exercise"
"pò","迫","coerce, force, compel; urgent"
"yé","爷(爺)","father, grandfather"
"piān","篇","chapter, section, essay"
"ròu","肉","flesh; meat; KangXi radical 130"
"zuǐ","嘴","mouth, lips"
"guǎn","馆(館)","public building"
"biàn","遍","everywhere, all over"
"fán","凡","all, any, every; ordinary"
"chǔ","础(礎)","foundation stone, plinth"
"dòng","洞","cave, grotto; ravine; hole"
"juàn","卷(捲 卷)","scroll; curl; make a comeback"
"tǎn","坦","flat, smooth; self-possessed"
"niú","牛","cow, ox, bull; KangXi radical93"
"níng","宁(寧 甯)","calm, peaceful, serene; healthy"
"zhǐ","纸(紙)","paper"
"zhū","诸(諸)","various, all, these; surname"
"xùn","训(訓)","teach, instruct; exegesis"
"sī","私","private, personal; secret"
"zhuāng","庄(莊 庄)","village, hamlet; villa, manor"
"zǔ","祖","ancestor, forefather; grandfath"
"sī","丝(糸)","silk; fine thread; wire; string"
"fān","翻","flip over, upset, capsize"
"bào","暴","violent, brutal, tyrannical"
"sēn","森","forest; luxuriant vegetation"
"tǎ","塔","tower, spire, tall building"
"mò","默","silent; quiet, still; dark"
"wò","握","grasp, hold fast, take by hand"
"xì","戏(戲)","theatrical play, show"
"yǐn","隐(隱)","hide, conceal; hidden, secret"
"shú","熟","well-cooked; ripe; familiar wit"
"gǔ","骨","bone; skeleton; frame"
"fǎng","访(訪)","visit; ask, inquire"
"ruò","弱","weak; fragile, delicate"
"méng","蒙(蒙 矇 濛)","cover; ignorant; suffer; mongol"
"gē","歌","song, lyrics; sing, chant; prai"
"diàn","店","shop, store; inn, hotel"
"guǐ","鬼","ghost; spirit of dead; devil"
"ruǎn","软(軟)","soft, flexible, pliable; weak"
"diǎn","典","law, canon; documentation; clas"
"yù","欲(慾 欲)","desire, want, long for; intend"
"sà","萨","Buddhist gods or immortals"
"huǒ","伙(夥 伙)","companion, colleague; utensils"
"zāo","遭","come across, meet with"
"pán","盘(槃 盤)","tray, plate, dish; examine"
"bà","爸","father, papa"
"kuò","扩(擴)","expand, enlarge, stretch"
"gài","盖(蓋)","cover, hide, protect"
"nòng","弄","do, play or fiddle with; alley"
"xióng","雄","male of species; hero; manly"
"wěn","稳(穩)","stable, firm, solid, steady"
"wàng","忘","forget; neglect; miss, omit"
"yì","亿(億)","hundred million; many"
"cì","刺","stab; prick, irritate; prod"
"yǒng","拥(擁)","embrace, hug, squeeze; crowd"
"tú","徒","disciple, follower; go on foot"
"mǔ","姆","child's governess; matron"
"yáng","杨","willow, poplar, aspen; surname"
"qí","齐(齊)","6576656E2C20756E69666F726D2C206"
"sài","赛(賽)","compete, contend; contest, race"
"qù","趣","what attracts one's attention"
"qū","曲(曲 麴)","crooked, bent; wrong, false"
"dāo","刀","knife; old coin; measure"
"chuáng","床(牀 床)","bed, couch; framework, chassis"
"yíng","迎","receive, welcome, greet"
"bīng","冰","ice; ice-cold"
"xū","虚(虛)","FALSE"
"wán","玩","play with, joke, enjoy"
"xī","析","split wood; break apart; divide"
"chuāng","窗","window"
"xǐng","醒","wake up; sober up; startle"
"qī","妻","wife"
"tòu","透","penetrate, pass through"
"gòu","购(購)","buy, purchase; hire"
"tì","替","change, replace, substitute for"
"sāi","塞","stop up, block, seal, cork; pas"
"nǔ","努","to exert, strive"
"xiū","休","rest, stop; retire; do not!"
"hǔ","虎","tiger; brave, fierce; surname"
"yáng","扬(颺 揚)","scatter, spread; praise"
"tú","途","way, road, path, journey; cours"
"qīn","侵","invade, encroach upon, raid"
"xíng","刑","punishment, penalty; law"
"lǜ","绿(綠)","green; chlorine"
"xiōng","兄","elder brother"
"xùn","迅","quick, hasty, rapid, sudden"
"tào","套","case, cover, wrapper, envelope"
"mào","贸(貿)","trade, barter; mixed; rashly"
"bì","毕(畢)","end, finish, conclude; complete"
"wéi","唯","only; yes"
"gǔ","谷(谷 穀)","valley, gorge, ravine"
"lún","轮(輪)","wheel; revolve, turn; recur"
"kù","库(庫)","armory, treasury, storehouse"
"jī","迹(蹟 跡)","traces, impressions, footprints"
"yóu","尤","especially, particularly"
"jìng","竞(競)","contend, vie, compete"
"jiē","街","street, road, thoroughfare"
"cù","促","urge, press, hurry; close"
"yán","延","delay, postpone, defer"
"zhèn","震","shake, quake, tremor; excite"
"qì","弃(棄)","reject, abandon, discard"
"jiǎ","甲","armor, shell; fingernails; 1st "
"wěi","伟(偉)","great, robust; extraordinary"
"má","麻(痳)","hemp, jute, flax; sesame"
"chuān","川","stream, river; flow; boil"
"shēn","申","to state to a superior, report;"
"huǎn","缓(緩)","slow, leisurely; to postpone"
"qián","潜(潛)","hide; hidden, secret, latent"
"shǎn","闪(閃)","flash; avoid, dodge, evade"
"shòu","售","sell"
"dēng","灯(燈)","lantern, lamp"
"zhēn","针(針)","needle; pin; tack; acupuncture"
"zhé","哲","wise, sagacious; wise man, sage"
"luò","络(絡)","enmesh, wrap around; web, net"
"dǐ","抵(牴 抵)","resist, oppose; deny; off-set"
"zhū","朱","cinnabar, vermilion; surname"
"āi","埃","fine dust, dirt"
"bào","抱","embrace, hold in arms, enfold"
"gǔ","鼓","drum; beat, top, strike"
"zhí","植","plant, trees, plants; grow"
"chún","纯(純)","pure, clean, simple"
"xià","夏","summer; great, grand, big"
"rěn","忍","endure, bear, suffer; forbear"
"yè","页(頁)","page, sheet, leaf; rad. no. 181"
"jié","杰(杰 傑)","hero; heroic, outstanding"
"zhú","筑(築 筑)","ancient lute; build"
"zhé","折(折 摺)","break off, snap; bend"
"zhèng","郑(鄭)","state in today's Henan; surname"
"bèi","贝(貝)","sea shell; money, currency"
"zūn","尊","respect, revere, venerate; hono"
"wú","吴","name of warring state; surname"
"xiù","秀","ear of grain; flowering"
"hùn","混","to mix, blend, mingle; to bumbl"
"chén","臣","minister, statesman, official"
"yǎ","雅","elegant, graceful, refined"
"zhèn","振","raise, excite, arouse action"
"rǎn","染","dye; be contagious; infect"
"shèng","盛","abundant, flourishing; contain;"
"nù","怒","anger, rage, passion; angry"
"wǔ","舞","dance, posture, prance; brandis"
"yuán","圆(圓)","circle; round, circular; comple"
"gǎo","搞","to clear, clarify"
"kuáng","狂","insane, mad; violent; wild"
"cuò","措","place; collect, arrange; employ"
"xìng","姓","one's family name; clan, people"
"cán","残(殘)","injure, spoil; oppress; broken"
"qiū","秋(秋 鞦)","autumn, fall; year"
"péi","培","bank up with dirt; cultivate"
"mí","迷","bewitch, charm, infatuate"
"chéng","诚(誠)","sincere, honest; true, real"
"kuān","宽(寬)","broad, wide; spacious, vast"
"yǔ","宇","house; building, structure; eav"
"měng","猛","violent, savage, cruel; bold"
"bǎi","摆(擺)","put, place; display; swing"
"méi","梅","plums; prunes; surname"
"huǐ","毁(毀 譭 燬)","destroy"
"shēn","伸","extend, stretch out, open up; t"
"mó","摩","rub, scour, grind; friction"
"méng","盟","swear; oath, covenant, alliance"
"mò","末","final, last, end; insignificant"
"nǎi","乃","then; really, indeed; as it tur"
"bēi","悲","sorrow, grief; sorry, sad"
"pāi","拍","clap, tap, beat; beat or rhythm"
"dīng","丁","male adult; robust, vigorous; 4"
"zhào","赵","surname; ancient state"
"yìng","硬","hard, firm, strong; obstinate"
"mài","麦(麥)","wheat, barley, oats; simplified"
"jiǎng","蒋","surname; hydropyrum latifalium"
"cāo","操","conduct, run, control, manage"
"yé","耶","used in transliteration"
"zǔ","阻","impede, hinder, obstruct; oppos"
"dìng","订(訂)","draw up agreement; arrange"
"cǎi","彩(綵 彩)","hue, color; variegated colors"
"chōu","抽","draw out, pull out; sprout"
"zàn","赞(贊 讚)","help, support, assist, aid"
"mó","魔","demon, evil spirits; magic powe"
"fēn","纷(紛)","in disorder, scattered, tangled"
"yán","沿","follow a course, go along"
"hǎn","喊","shout, call out, yell; howl; cr"
"wéi","违(違)","disobey, violate, defy; be apar"
"mèi","妹","younger sister"
"làng","浪","wave; wasteful, reckless"
"huì","汇(彙 匯)","concourse; flow together"
"bì","币(幣)","currency, coins, legal tender"
"fēng","丰(丰 豐)","abundant, lush, bountiful"
"lán","蓝(藍)","blue; indigo plant; surname"
"shū","殊","different, special, unusual"
"xiàn","献(獻)","offer, present; show, display"
"zhuō","桌","table, desk, stand"
"la","啦","final particle of assertion"
"wǎ","瓦","tile; earthenware pottery; girl"
"lái","莱","goosefoot, weed; fallow field"
"yuán","援","aid, assist; lead; cite"
"yì","译(譯)","translate; decode; encode"
"duó","夺(奪)","take by force, rob, snatch"
"qì","汽","steam, vapor, gas"
"shāo","烧(燒)","burn; bake; heat; roast"
"jù","距","distance; bird's spur"
"cái","裁","cut out; decrease"
"piān","偏","inclined one side; slanting"
"fú","符","i.d. tag, tally, symbol, charm"
"yǒng","勇","brave, courageous, fierce"
"chù","触(觸)","butt, ram, gore; touch"
"kè","课(課)","lesson; course; classwork"
"jìng","敬","respect, honor; respectfully"
"kū","哭","weep, cry, wail"
"dǒng","懂","understand, comprehend"
"qiáng","墙(牆)","wall"
"xí","袭(襲)","raid, attack; inherit"
"zhào","召","imperial decree; summon"
"fá","罚(罰)","penalty, fine; punish, penalize"
"xiá","侠(俠)","chivalrous person; knight-erran"
"tīng","厅(廳)","hall, central room"
"bài","拜","do obeisance, bow, kowtow"
"qiǎo","巧","skillful, ingenious, clever"
"cè","侧(側)","side; incline, slant, lean"
"hán","韩","fence; surname; Korea"
"mào","冒","risk, brave, dare"
"zhài","债(債)","debt, loan, liabilities"
"màn","曼","long, extended, vast; beautiful"
"róng","融","melt, fuse; blend, harmonize"
"guàn","惯(慣)","habit, custom; habitually"
"xiǎng","享","enjoy"
"dài","戴","wear on top; support"
"tóng","童","child, boy, servant boy; virgin"
"yóu","犹(猶)","like, similar to, just like, as"
"chéng","乘","ride, ascend; avail oneself of;"
"guà","挂(挂 掛)","hang, suspend; suspense"
"jiǎng","奖(獎)","prize, reward; give award to"
"shào","绍(紹)","continue, carry on; join"
"hòu","厚","thick; substantial; greatly"
"zòng","纵(縱)","indulge in, give free reign to"
"zhàng","障","separate; shield; barricade"
"xùn","讯(訊)","inquire; ask; examine; reproach"
"shè","涉","ford stream, wade across"
"chè","彻(徹)","penetrate, pervade; penetrating"
"kān","刊","publication, periodical; publis"
"zhàng","丈","unit of length equal 3.3 meters"
"bào","爆","crackle, pop, burst, explode"
"wū","乌(烏)","crow, rook, raven; black, dark"
"yì","役","service; a servant, laborer; to"
"miáo","描","copy, trace, sketch; depict"
"xǐ","洗","wash, rinse; clean, purify"
"mǎ","玛","agate; cornelian"
"huàn","患","suffer, worry about; suffering"
"miào","妙","mysterious, subtle; exquisite"
"jìng","镜(鏡)","mirror; lens; glass; glasses"
"chàng","唱","sing, chant, call; ditty, song"
"fán","烦(煩)","bother, vex, trouble; troubleso"
"qiān","签(籤 簽)","sign, endorse; slip of paper"
"xiān","仙","Taoist super-being"
"bǐ","彼","that, there, those"
"fú","弗","not, negative"
"zhèng","症(症 癥)","disease, illness, ailment"
"fǎng","仿(仿 倣)","imitate, copy; as if"
"qīng","倾(傾)","upset, pour out, overflow"
"pái","牌","signboard, placard"
"xiàn","陷","submerge, sink, plunge; trap"
"niǎo","鸟(鳥)","bird; KangXi radical 196"
"hōng","轰(轟)","rumble, explosion, blast"
"zán","咱(偺)","we, us"
"cài","菜","vegetables; dish, order; food"
"bì","闭(閉)","shut, close; obstruct, block up"
"fèn","奋(奮)","strive, exert effort; arouse"
"qìng","庆(慶)","congratulate, celebrate"
"chè","撤","omit; remove; withdraw"
"lèi","泪(淚)","tears; weep, cry"
"chá","茶","tea"
"jí","疾","illness, disease, sickness; to "
"yuán","缘(緣)","hem, margin; reason, cause; fat"
"bō","播","sow, spread; broadcast; case aw"
"lǎng","朗","clear, bright; distinct"
"dù","杜","stop, prevent; restrict; surnam"
"nǎi","奶","milk; woman's breasts; nurse"
"jì","季","quarter of year; season; surnam"
"dān","丹","cinnabar (native HgS); vermilio"
"gǒu","狗","dog, canis familiaris"
"wěi","尾","tail, extremity; end, stern"
"yí","仪(儀)","ceremony, rites gifts; admire"
"tōu","偷","to steal, burglar, thief"
"bēn","奔","run fast, flee; rush about; run"
"zhū","珠","precious stone, gem, jewel"
"chóng","虫(蟲 虫)","insects, worms; KangXi radical "
"zhù","驻(駐)","to be stationed at, reside at; "
"kǒng","孔","opening, hole, orifice; great"
"yí","宜","suitable, right, fitting"
"ài","艾","artemisia, mugwort; translit."
"qiáo","桥(橋)","bridge; beam, crosspiece"
"dàn","淡","weak, watery; insipid"
"yì","翼","wings; fins on fish; shelter"
"hèn","恨","hatred, dislike; resent, hate"
"fán","繁","complicated, complex, difficult"
"hán","寒","cold, wintry, chilly"
"bàn","伴","companion, comrade, partner; ac"
"tàn","叹(歎 嘆)","sigh, admire"
"dàn","旦","dawn; morning; day"
"yù","愈(瘉 愈 癒)","more and more, even more"
"cháo","潮","tide; moist, wet, damp; flow"
"liáng","粮(糧)","food, grain, provisions"
"suō","缩(縮)","contract, draw in, reduce"
"bà","罢(罷)","cease, finish, stop; give up"
"jù","聚","assemble, meet together"
"jìng","径(逕 徑)","narrow path; diameter; direct"
"qià","恰","just, exactly, precisely; prope"
"tiāo","挑","a load carried on the shoulders"
"dài","袋","pocket, bag, sack, pouch"
"huī","灰","ashes; dust; lime, mortar"
"bǔ","捕","arrest, catch, seize"
"xú","徐","slowly, quietly, calmly; compos"
"zhēn","珍","precious, valuable, rare"
"mù","幕","curtain, screen, tent"
"yìng","映","project; reflect light"
"liè","裂","split, crack, break open; rend"
"tài","泰","great, exalted, superior; big"
"gé","隔","separate, partition"
"qǐ","启(啟)","open; begin, commence; explain"
"jiān","尖","sharp, pointed, acute, keen"
"zhōng","忠","loyalty, devotion, fidelity"
"lèi","累","tired; implicate, involve; both"
"yán","炎","flame, blaze; hot"
"zàn","暂(暫)","temporary"
"gū","估","merchant; estimate, guess"
"fàn","泛(泛 汎 氾)","to drift, float; careless"
"huāng","荒","wasteland, desert; uncultivated"
"cháng","偿(償)","repay, recompense; restitution"
"héng","横(橫)","across"
"jù","拒","ward off with hand, defend"
"ruì","瑞","felicitous omen; auspicious"
"yì","忆(憶)","remember, reflect upon; memory"
"gū","孤","orphan, fatherless; solitary"
"bí","鼻","nose; first; KangXi radical 209"
"nào","闹(鬧)","quarrel; dispute hotly"
"yáng","羊","sheep, goat; KangXi radical 123"
"dāi","呆(騃)","dull; dull-minded, simple"
"lì","厉(厲)","whetstone; grind, sharpen; whet"
"héng","衡","measure, weigh, judge, consider"
"bāo","胞","womb, placenta, fetal membrane"
"líng","零","zero; fragment, fraction"
"qióng","穷(窮)","poor, destitute, impoverished"
"shè","舍(舍 捨)","house, dwelling; dwell, reside"
"mǎ","码(碼)","number, numerals; yard; symbol"
"hè","赫","bright, radiant, glowing"
"pó","婆","old woman; grandmother"
"hún","魂","soul, spirit"
"zāi","灾(災)","calamity, disaster, catastrophe"
"hóng","洪","vast, immense; flood, deluge"
"tuǐ","腿","legs, thighs"
"dǎn","胆(膽)","gall bladder; bravery, courage"
"jīn","津","ferry; saliva; ford"
"sú","俗","social customs; vulgar"
"biàn","辩(辯)","dispute, argue, debate, discuss"
"xiōng","胸","breast, bosom, chest; thorax"
"xiǎo","晓(曉)","dawn, daybreak; clear, explicit"
"jìng","劲(勁)","strong, unyielding, tough"
"pín","贫(貧)","poor, impoverished, needy"
"rén","仁","humaneness, benevolence"
"ǒu","偶","accidentally, coincidently; an "
"jí","辑(輯)","gather up, collect; edit"
"bāng","邦","nation, country, state"
"huī","恢","restore; big, great, immense"
"lài","赖(賴)","rely, depend on; accuse falsely"
"quān","圈","to circle; a circle; corral"
"mō","摸","gently touch with hand; caress"
"yǎng","仰","raise the head to look; look up"
"rùn","润(潤)","soft, moist; sleek; freshen"
"duī","堆","heap, pile, crowd; pile up"
"pèng","碰(踫 碰)","collide, bump into"
"tǐng","艇","small boat, dugout, punt"
"shāo","稍","little, slightly; rather"
"chí","迟(遲)","late, tardy; slow; delay"
"liàng","辆(輛)","numerary adjunct for vehicles"
"fèi","废(廢)","abrogate, terminate, discard"
"jìng","净(淨)","clean, pure; cleanse"
"xiōng","凶(兇 凶)","culprit; murder; bad, sad"
"shǔ","署","public office"
"bì","壁","partition wall; walls of a hous"
"yù","御(御 禦)","drive, ride; chariot; manage"
"fèng","奉","offer; receive; serve; respect"
"xuán","旋","revolve, move in orbit; return"
"dōng","冬(冬 鼕)","winter, 11th lunar month"
"kuàng","矿(礦)","mine; mineral, ore"
"tái","抬","lift, carry"
"dàn","蛋","eggs; term of abuse"
"chén","晨","early morning, daybreak"
"fú","伏","crouch, crawl, lie hidden"
"chuī","吹","blow; puff; brag, boast"
"jī","鸡(雞)","chicken"
"bèi","倍","times, fold, multiple times"
"hú","糊(糊 餬)","paste, stick on with paste"
"qín","秦","feudal state of Qin; the Qin dy"
"dùn","盾","shield; dutch guilder; Indonesi"
"bēi","杯(杯 盃)","cup, glass"
"zū","租","rent, lease; rental; tax"
"qí","骑(騎)","ride horseback; mount; cavalry"
"fá","乏","lack; poor"
"lóng","隆","prosperous, plentiful, abundant"
"zhěn","诊(診)","examine patient, diagnose"
"nú","奴","slave, servant"
"shè","摄(攝)","take in, absorb; act as deputy"
"sāng","丧(喪)","mourning; mourn; funeral"
"wū","污(污 汙)","filthy, dirty, impure, polluted"
"dù","渡","cross, ferry over; ferry"
"qí","旗(旂 旗)","banner, flag, streamer"
"gān","甘","sweetness; sweet, tasty"
"nài","耐","endure, bear; resist; patient"
"píng","凭(憑)","lean on, depend on, rely on"
"zhā","扎(紮)","pull up; pierce; struggle free"
"qiǎng","抢(搶)","plunder, rob, take by force"
"xù","绪(緖 緒)","end of thread; thread, clue"
"cū","粗(麤 粗)","rough, thick, course; rude"
"jiān","肩","shoulders; to shoulder; bear"
"liáng","梁(梁 樑)","bridge; beam; rafters; surname"
"huàn","幻","illusion, fantasy, mirage"
"fēi","菲","fragrant, luxuriant; the Philip"
"jiē","皆","all, every, everybody"
"suì","碎","break, smash; broken, busted"
"zhòu","宙","time as concept; infinite time"
"shū","叔","father's younger brother"
"yán","岩(巖 嵒 岩)","cliff; rocks; mountain"
"dàng","荡(盪 蕩)","pond, pool; wash away, cleanse"
"zòng","综(綜)","arrange threads for weaving"
"pá","爬","crawl, creep; climb; scramble"
"hé","荷","lotus, water lily, holland"
"xī","悉","know, learn about, comprehend"
"dì","蒂","peduncle or stem of plants"
"fǎn","返","return, revert to, restore"
"jǐng","井","well, mine shaft, pit"
"zhuàng","壮(壯)","big, large; robust; name of tri"
"bó","薄","thin, slight, weak; poor"
"qiǎo","悄","silent, quiet, still; anxious"
"sǎo","扫(掃)","sweep, clear away; exterminate"
"mǐn","敏","fast, quick, clever, smart"
"ài","碍(礙)","obstruct, hinder, block, deter"
"zhí","殖","breed, spawn; increase; prosper"
"xiáng","详(詳)","detailed, complete, thorough"
"dí","迪","enlighten, advance; progress"
"máo","矛","spear, lance; KangXi radical 11"
"huò","霍","quickly, suddenly; surname"
"yǔn","允","to grant, to allow, to consent"
"fú","幅","piece, strip, breadth of, hem"
"sā","撒","release, cast away, let go; dis"
"shèng","剩(賸 剩)","leftovers, residue, remains"
"kǎi","凯","triumphant; triumph, victory"
"kē","颗(顆)","grain, kernel"
"mà","骂(罵)","accuse, blame, curse, scold"
"shǎng","赏(賞)","reward, grant, bestow; apprecia"
"yè","液","sap, juice, liquid, fluid"
"fān","番","to take turns; a turn, a time; "
"xiāng","箱","case, box, chest, trunk"
"tiē","贴(貼)","paste to, stick on; attached to"
"màn","漫","overflow of water; spreading"
"suān","酸(痠 酸)","tart, sour; acid; stiff; spoile"
"láng","郎","gentleman, young man; husband"
"yāo","腰","waist; kidney"
"shū","舒","open up, unfold, stretch out; c"
"méi","眉","eyebrows; upper margin of book"
"yōu","忧(憂)","sad, grieved; grief, melancholy"
"fú","浮","to float, drift, waft; to excee"
"xīn","辛","bitter; toilsome, laborious; 8t"
"liàn","恋(戀)","love; long for, yearn for; love"
"cān","餐","eat, dine; meal; food"
"xià","吓(嚇)","scare, frighten; intimidate"
"tǐng","挺","to stand upright, straighten; r"
"lì","励(勵)","strive; encourage"
"cí","辞(辭)","words, speech, expression"
"sāo","艘","counter for ships, vessels"
"jiàn","键(鍵)","door bolt, lock bolt; key"
"wǔ","伍","five, company of five; troops"
"fēng","峰(峰 峯)","peak, summit; hump of camel"
"chǐ","尺(呎 尺)","Chinese measure approx. 'foot'"
"zuó","昨","yesterday; in former times"
"lí","黎","surname; numerous, many; black"
"bèi","辈(輩)","generation, lifetime; class"
"guàn","贯(貫)","a string of 1000 coins; to go t"
"zhēn","侦(偵)","spy, reconnoiter; detective"
"huá","滑","slip, slide; slippery, polished"
"quàn","券","certificate, ticket; title deed"
"chóng","崇","esteem, honor, revere, venerate"
"rǎo","扰(擾)","disturb, annoy, agitate"
"xiàn","宪(憲)","constitution, statute, law"
"rào","绕(遶 繞)","entwine; wind around; surround"
"qū","趋(趨)","hasten, hurry; be attracted to"
"cí","慈","kind, charitable, benevolent"
"qiáo","乔","tall, lofty; proud, stately"
"yuè","阅(閱 閲)","examine, inspect, review, read"
"hàn","汗","perspiration, sweat"
"zhī","枝","branches, limbs; branch off"
"tuō","拖","drag, tow, haul; delay, prolong"
"mò","墨","ink; writing"
"xié","胁(脅)","ribs, armpits; flank; threaten"
"chā","插","insert, stick into; plant"
"jiàn","箭","arrow; type of bamboo"
"là","腊","year end sacrifice; dried meat"
"fěn","粉","powder, face powder; plaster"
"ní","泥","mud, mire; earth, clay; plaster"
"shì","氏","clan, family; mister"
"péng","彭","name of ancient country; surnam"
"bá","拔","uproot, pull out"
"piàn","骗(騙)","swindle, cheat out of, defraud"
"fèng","凤","male phoenix; symbol of joy"
"huì","慧","bright, intelligent; intelligen"
"méi","媒","go-between, matchmaker; medium"
"pèi","佩(珮 佩)","belt ornament, pendant; wear at"
"fèn","愤(憤)","resent, hate; indignant"
"pū","扑(撲)","pound, beat, strike; attack"
"líng","龄(齡)","age; years"
"qū","驱(驅)","spur a horse on; expel"
"xī","惜","pity, regret, rue, begrudge"
"háo","豪","brave, heroic, chivalrous"
"yǎn","掩","to cover (with the hand); shut,"
"jiān","兼","unite, combine; connect; and"
"yuè","跃(躍)","skip, jump, frolic"
"shī","尸(屍 尸)","corpse; to impersonate the dead"
"sù","肃(肅)","pay respects; reverently"
"pà","帕","turban, kerchief, veil; wrap"
"shǐ","驶(駛)","sail, drive, pilot; fast, quick"
"bǎo","堡","fort, fortress; town, village"
"jiè","届(屆)","numerary adjunct for time, term"
"xīn","欣","happy, joyous, delighted"
"huì","惠","favor, benefit, confer kindness"
"cè","册(冊)","book, volume, register, list"
"chǔ","储(儲)","save money, store, reserve; hei"
"piāo","飘(飄)","whirlwind, cyclone; floating"
"sāng","桑","mulberry tree; surname"
"xián","闲(閒 閑)","fence, guard; defend; idle time"
"cǎn","惨(慘)","sad, pitiful, wretched; cruel"
"jí","洁(潔)","clean, purify, pure"
"zōng","踪(蹤)","footprints, traces, tracks"
"bó","勃","suddenly, sudden, quick"
"bīn","宾(賓)","guest, visitor; surname; submit"
"pín","频(頻)","frequently, again and again"
"chóu","仇","enemy, hate, hatred, enmity"
"mó","磨","grind; polish; rub; wear out; a"
"dì","递(遞)","hand over, deliver; substitute"
"xié","邪","wrong, evil, depraved, vicious,"
"zhuàng","撞","knock against, bump into"
"nǐ","拟(擬)","draft; intend, plan, propose"
"gǔn","滚(滾)","turn"
"zòu","奏","memorialize emperor; report"
"xún","巡","patrol, go on circuit, cruise"
"yán","颜(顏)","face, facial appearance"
"jì","剂(劑)","medicinal preparation"
"jī","绩(績)","spin; achievements"
"gòng","贡(貢)","offer tribute; tribute, gifts"
"fēng","疯(瘋)","crazy, insane, mentally ill"
"pō","坡","slope, bank, hillside"
"qiáo","瞧","glance at, look at, see"
"jié","截","cut off, stop, obstruct"
"rán","燃","burn; light fire, ignite"
"jiāo","焦","burned, scorched; anxious"
"diàn","殿","hall; palace; temple"
"wěi","伪(偽)","false, counterfeit, bogus"
"liǔ","柳","willow tree; pleasure"
"suǒ","锁(鎖)","lock, padlock; shackles, chains"
"bī","逼","compel, pressure, force; bother"
"pǒ","颇(頗)","lean one side; very, rather"
"hūn","昏","dusk, nightfall, twilight, dark"
"quàn","劝(勸)","recommend, advise, urge"
"chéng","呈","submit, show; appear; petition"
