"Context","Answer","Empty"
"みんなと＿合わせた","話を",""
"調子＿、つい飲み過ぎてしまった","に乗って",""
"＿傾けていた　（listen)","耳を",""
"＿つかなかった","気が",""
"＿見える","ものが",""
"料理＿花＿添えられていた","に　が",""
"カバン＿荷物＿たくさん詰めて","に　を",""
"若者＿気＿合って","と　が",""
"仕事＿世界中＿飛び回る","で　を",""
"先生＿講演＿依頼した","に　を",""
"場＿和んだ","が",""
"練習＿重ね＿きた","を　て",""
"今まで、東京の人だ＿思い込＿","と　んていだ",""
"若者＿出会＿ことがきっかけで","と　った",""
"見られているかなんて、考えても見＿","なかった",""
"言われ＿ことなど思っても見なかった","る",""
"＿問いかける","を",""
"＿変える","を",""
"話＿耳＿傾ける","に　を",""
"イギリス＿旅する","を",""
"誰か＿依頼する","を",""
"友達＿出会う","に",""
"のぶ＿気が合う","と",""
"剣道＿体験する","を",""
"経験＿重ねる","を",""
"田中＿関心する","に",""
"木下＿調子＿乗る","が　に",""
"料理＿自慢する","を",""
"父＿黙り込む","が",""
"におい＿気＿つく","に　が",""
"もの＿見える","が",""
"箱＿服＿詰める","に　を",""
"幸せ＿願う","を",""
"花＿添える","を",""
"講演＿締めくくる","を",""
"スポーツをやったから、さすがに＿","走るのが早い",""
"さすがののぶちゃんも切符＿","を忘れた",""
"忙しいのに、毎日＿さすがですね","料理を作る、",""
"来る　no way that he will come","わけがない",""
"心配ばかり＿だけに、卒業を喜んでくれた","させてきた",""
"気＿なっているようだが","に",""
"気＿会う","が",""
"気＿つかなかった","が",""
"部長＿話＿合わせて","に　を",""
"さすが＿１００キロ","に",""
"先生方＿はじめ、","を",""
"私のパソコンのデータが消えていた","知らぬ間に at some time",""
"＿声を上げてしまった","思わず unintentionally",""
"＿先週、妻がパソコンを使ってもいいかと聞いてきた。","そういえば　which reminds me",""
"＿返事をしてしまったが、もしかすると妻が間違ってデータを消してしまった","何気ない　unconcerned",""
"「どうすればいい」に＿","問いかける",""
"なかなか子供と＿時間がない","ふれ合う",""
"彼は何度も失敗を＿、やっと成功した","重ねて",""
"突然の質問だったので、彼は＿しまった","黙り込んで",""
"花にはカードが＿","添えられた",""
"弁当箱にご飯を＿学校へ","詰めて",""
"答えるまでに少し間_","があった",""
"田で汗＿働く","を流して",""
"声＿そろえて","を揃えて",""
"みんなで＿合わせて","気持ちを",""
"試験にどうしても＿人は","参加したい",""
"考え方は＿それぞれだと言って","人",""
"仲間＿喜び＿分かち合った","と　を",""
"若者の姿＿頭＿浮かぶ","が　に",""
"新しい上司＿はなじめない","に",""
"大声＿「頑張れ」と言うの＿元気付けられて","で　に",""
"世界中＿歩き回った","を",""
"親に気づ＿ように部屋に入ろうと思ったが、気づ＿しまった","かれない　れで",""
"においに誘＿、インド料理","われて",""
"決＿かねて","め",""
"判断＿難い","し",""
"夫の一言にはげま＿いる","されて",""
"「テストは嫌だ」＿声＿そろえた","と　を",""
"声＿合わせ","を",""
"汗＿流して","を",""
"顔＿目＿浮かぶ","が　に　come into mind",""
"クラス＿なじんで","に",""
"彼は彼なり＿頑張っている","に",""
"今回の旅行は忘＿思い出になった","忘れがたい",""
"すみません、今回は参加いたし＿。","かねます",""
"そんなうそのような話は信じ＿","がたい",""
"妹は＿頭がいい","生まれ付き from birth",""
"私が＿分からない問題もすぐに","どうしても　no matter what",""
"＿人に話しかけられると、嫌な顔をしている","見知らぬ",""
"姉妹といっても、＿の個性があるのだ","それぞれ　each",""
"腰を上げらない＿から、準備すればいい分からなかった","ものだ",""
"友達のテストを見る＿を先生に見られてしまって、叱られた","ところ",""
"寂しくて写真を見てはよく泣いた＿","ものだ",""
"ニコニコしているので、きっと嬉しいに＿","違いない",""
"進歩＿いる","を遂げて",""
"血＿兄弟が","を分けた",""
"オリンピックに出るという＿叶えた","願いを",""
"＿見えないままで心配に思う","先が",""
"大きな犠牲＿まで","を払う",""
"生活＿変化＿もたらした","に　を",""
"何気ない一言＿心＿動かした","が　を",""
"日本語＿生かした","を",""
"助け＿借りて","を",""
"勇気＿生まれた","が",""
"日本語＿伸び＿見られる","に　が",""
"仕事だから、割＿やるしかない","り切て",""
"言葉に救＿","われた",""
"リーダーとしての力が問＿いる","われて",""
"もう助か＿に違いない","らない",""
"優勝を目指＿いただけに","して",""
"人を＿長く生かすか","いかに",""
"空模様＿、雨は止まない","からすると",""
"＿進歩","目覚まし",""
"夢・希望＿","をかなえる",""
"N１合格＿","を目指す",""
"＿「ガラケー」","いわゆる",""
"借り＿まだ返していない","たきり",""
"遊んでばかりいる＿いい大学に入れません","ようでは",""
"結婚したい女性が減らしいる。＿女性の結婚の雑誌が増えている","その一方",""
"会社を休む＿","わけにはいかない",""
"夢＿","を叶える　(かなえる)",""
"体＿動か＿たほうがいい","を　してい",""
"その社員の失敗で、上司の責任＿ている","が問われ　(ask/blame)",""
"かぜ＿には薬を飲んで","を治す",""
"大学で学んだことを、国＿たい","で生かし (live in the country)",""
"命＿助か＿なら","が　る",""
"仕事の一部だ＿やっている","と割り切って　find solution",""
"お客様に＿楽しんでもらえるかだけを考えている","いかに",""
"＿生きる辞書だ","いわゆる",""
"ワインを買ったが、＿もう一本買うことにした","さらに",""
"兄は成績もいい。＿弟は遊んでばかりいる","一方",""
"人気があるのは＿だ","当然",""
"大学は＿研究のためにある","本来",""
"父にはずっと＿いてほしい","健康で",""
"留学したいが＿難しい","経済的に",""
"警察によって、事故の原因が＿なった","明らかに",""
"中身の方が＿と思う","重要だ",""
"この味が苦手だったら＿食べなくてもいい","無理に",""
"約束した＿、大変なことになって＿","ばかりに　しまった",""
"優勝だった＿、負けたときは残念＿","だけに　でならなかった",""
"会社を辞めさせられた＿、別の仕事が見つけられる","としても",""
"よく調べて見＿、誰が悪いとは言えない","ないことには",""
"口＿ともしない部下に","を利こう　（prone to speak)",""
"母はよく喋る。父は口＿ものだ","が重い",""
"夢＿、絵の学校に入ったが、この世界は厳しかった","をかなえるために",""
"犬は突然姿＿","を消した",""
"わざわざ足＿のに","を運んだ",""
"父は「気をつけて」とポツリと＿","言った",""
"何らかの手＿打たなければ","を",""
"日本の社会＿は男女平等の意識が根付かない","に",""
"その若者は日本＿看護の仕事をするために","で",""
"漢字＿苦しんでいる","に",""
"海外＿の生活＿あこがれている","で　に",""
"大きな波＿海岸＿押し寄せてきた","が　に",""
"支援＿力＿入れる","に　を",""
"両親に田植を手伝えと呼び戻＿","された",""
"人たちに体験してもら＿と、","おう",""
"拍手に促＿、","されて",""
"勢いに乗＿優勝した","て",""
"この地域の伝統をよく知＿ままでいた","らない",""
