"hiragana","kanji","meaning"
"わかります","わかります","Understand"
"すき「な」","好き「な」","Like"
"きらい「な」","嫌い「な」","Dislike"
"じょうず「な」","上手「な」","Good at"
"へた「な」","下手「な」","Bad at"
"りょうり","料理","Dish (cooked food), Cooking"
"のみもの","飲み物","Drinks"
"やきゅう","野球","Baseball"
"おんがく","音楽","Music"
"うた","歌","Song"
"え","絵","Picture, Drawing"
"じ","字","Letter, Character"
"かんじ","漢字","Chinese character"
"こまかいおかね","細かいお金","Small Change"
"じかん","時間","Time"
"ようじ","用事","Something to do, errand"
"やくそく","約束","Appointment, promise"
"ごしゅじん","ご主人","(Someone else's) Husband"
"おっと/しゅじん","夫/主人","(my) Husband"
"おくさん","奥さん","(someone else's) Wife"
"つま/かない","妻/家内","(my) Wife"
"こども","子ども","Child"
"よく","よく","Well, much"
"だいたい","だいたい","Mostly, roughly"
"たくさん","たくさん","Many, much"
"すこし","少し","A little, a few"
"ぜんぜん","全然","Not at all (used with negatives)"
"はやく","早く","Early, quickely, fast"
"どうして","どうして","Why"
"ざんねんです「ね」","残念です「ね」","I'm sorry to hear that / that's a pitty"
"みんよう","民謡","Folk music"
"えんか","演歌","Traditional Japanese popular songs"
"きげき","喜劇","Comedy film"
"たっきゅう","卓球","Ping Pong"
"すもう","相撲","Sumo"
"じゅうどう","柔道","Judo"
"けんどう","剣道","Japanese Fencing"
"すいえい","水泳","Swimming"
"いろいろ「な」","いろいろ「な」","Various"
"おとこのひと","男の人","Man"
"おんなのひと","女の人","Woman"
"おとこのこ","男の子","Boy"
"おんなのこ","女の子","Girl"
"いぬ","犬","Dog"
"ねこ","猫","Cat"
"き","木","Tree"
"もの","物","Thing"
"でんち","電池","Battery"
"ほこ","箱","Box"
"れいぞうこ","冷蔵庫","Refridgerator"
"たな","棚","Shelf"
"まど","窓","Window"
"こうえん","公園","Park"
"きっさてん","喫茶店","Coffee Shop"
"ほんや","本屋","Book Shop"
"のりば","乗り場","Fixed place for taxies and buses"
"けん","県","Perfecture"
"うえ","上","On, above, over"
"した","下","Under, below, beneath"
"まえ","前","Front, before"
"うしろ","うしろ","Back, Behind"
"みぎ","右","Right"
"ひだり","左","Left"
"なか","中","In, inside"
"そと","外","Outside"
"となり","隣","Next, next door"
"ちかく","近く","Near, vicinity"
"あいだ","間","Between, middle"
"げんかん","玄関","Entrance hall"
"ふろば","風呂場","Bathroom"
"せんめんじょ","洗面所","Washroom"
"だいどころ","台所","Kitchen"
"しょくどう","食堂","Dining room"
"いま","居間","Living room"
"しんしつ","寝室","Bedroom"
"そうか","廊下","Hallway"
"います","います","Have (a child), Stay, be"
"かかります","かかります","Take (referring to time or money)"
"やすみます","休みます","Take a day off"
"ひとつ","一つ","One (universal counting of one)"
"ふたつ","二つ","Two of…"
"みっつ","三つ","Three of…"
"よっつ","四つ","Four of …"
"いつつ","五つ","Five of …"
"むっつ","六つ","Six of …"
"ななつ","七つ","Seven of…"
"やっつ","八つ","Eight of …"
"ここのつ","九つ","Nine of …"
"とお","十","Ten of …"
"いくつ","いくつ","How many"
"ひとり","一人","One person"
"ふたり","二人","Two persons"
"ーにん","ー人","Some number of people"
"ーだい","ー台","Counter of machines, cars …"
"ーまい","ー枚","Counter of papers, stamps …"
"ーかい","ー回","Counter of period, number of times"
"りんご","りんご","Apple"
"みかん","みかん","Orange"
"きって","切手","Postage Stamp"
"はがき","はがき","Post Card"
"ふうとう","封筒","Envelope"
"そくたつ","速達","Special delivery"
"かきとめ","書留","Registered mail"
"こうくうびん","航空便","Airmail"
"ふなびん","船便","Seamail"
"りょうしｎ","両親","Parents"
"きょうだい","兄弟","Brothers and Sisters"
"あに","兄","(my) elder Brother"
"おにいさん","お兄さん","(someone else's) elder Brother"
"あね","姉","(my) elder Sister"
