"hiragana","kanji","meaning",""
"めったいにない","めったいにない","rarely",""
"とうし","投資する","investment",""
"さき","先","previous",""
"はか","墓","gravesite",""
"きぶん","気分","feeling",""
"はず","はず","expectation that something took place, will take place or was in some state",""
"なんらか","何らか","some",""
"ほうほう","方法","method",""
"ねんれい","年齢","age",""
"くわしい","詳しい","detailed",""
"じょうほう","情報","information",""
"あるいは","あるいは","or",""
"どちらにしても","どちらにしても","either way",""
"のぞく","を覗く","to peek (though a keyhole, gap, etc.)",""
"きみがわるい","気味が悪い","creepy (feeling)",""
"ところで","ところで","by the way",""
"こじん","個人","individual",""
"たにん","他人","another person",""
"ざいさん","財産","property",""
"こせき","戸籍","family register",""
"しそう","思想","thought",""
"しゅうきょう","宗教","religion",""
"まさか","まさか","by no means",""
"いでんし","遺伝子","gene",""
"として","として","as (i.e. in the role of)",""
"あんぜん","安全な","safety",""
"かんり","管理する","control",""
"もれる","が漏れる","to leak out",""
"よきん","預金する","deposit",""
"ひきだす","を引き出す","to pull out",""
"あくよう","悪用する","abuse",""
"おそろしい","恐ろしい","terrible",""
"きがする","気がする","to have a certain mood or feeling",""
"やりとり","やり取りする","giving and taking",""
"より","より","than",""
"さんこう","参考","reference",""
"すすむ","が進む","to advance",""
"〜は〜ほど","〜は〜ほど","as X as possible",""
"にたいして","に対して","towards",""
"せきにん","責任","duty",""
"かいがい","海外","foreign",""
"しゅっちょう","出張する","official tour",""
"げんいん","原因","cause",""
"ふめい","不明な","unclear",""
"もうすぐ","もうすぐ","very soon",""
"くちかず","口数","number of words a person speaks",""
"ていねん","定年","retirement age",""
"ひっこむ","が引っ込む","to draw back",""
"ゆかり","縁","related to (some person or place)",""
"みみにのこる","耳に残る","to remain in memory (of sounds and words)",""
"おう","を追う","to chase",""
"きらう","を嫌う","to hate",""
"おもいだす","を思い出す","to recall",""
"ゆいいつ","唯一","only",""
"なくす","を亡くす","to lose something",""
"しばらく","しばらく","little while",""
"がいしゅつ","外出する","going out",""
"ふべん","不便な","inconvenience",""
"たつ","が経つ","to pass (of time)",""
"につれで","につれで","as",""
"どころが","どころが","however surprise",""
"かえって","かえって","on the contrary",""
"よゆう","余裕","surplus",""
"だいじょうぶ","大丈夫","safe",""
"まにあう","間に合う","to be in time for",""
"イライラ","イライラする","getting nervous",""
"すっかり","すっかり","all",""
"ことに","ことに","especially",""
"からといって","からといって","while it may be true that",""
